Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Identificador persistente ARK,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Costa, Diogo Gonzaga Monte da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Integrando a inteligência artificial generativa na educação em química: desenvolvimento de ferramentas e avaliação como recurso educacional,2025,Universidade Federal do Rio Grande do Norte (UFRN),UFRN,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação em Química||Inteligência Artificial Generativa||Personalização do ensino||CNPQ::CIENCIAS EXATAS E DA TERRA::QUIMICA,Não informado pela instituição,por,"In an increasingly interconnected world, Information and Communication Technologies (ICTs), including Artificial Intelligence (AI), have emerged as transformative forces in chemical education. Despite teachers' familiarity with everyday technologies, the effective integration of new technological tools in teaching still faces significant barriers. Consequently, there is a critical need to explore educational strategies and innovative methodologies aimed at bridging the technological gap and advancing educational practices. This study investigated the integration of Generative Artificial Intelligence (GAI) in chemical education, focusing on the development of innovative pedagogical tools and the assessment as an educational resource. The primary objective included the creation of an interactive educational product, an e-book titled ""DIGITAL ALCHEMY: Transforming Chemical Education with Generative AI,"" based on Situated Learning Theory. Research on the application of this educational resource was conducted with chemistry teachers, who assigned an average rating of 8.5, reflecting a generally favorable view of GAI's potential to enhance chemical education. Nevertheless, 65% of participants emphasized the importance of human intervention to ensure the accuracy of analyses performed by Generative AI. The findings indicated that GAI could become a vital educational resource in the teaching-learning process, personalizing content and facilitating the understanding of complex concepts. However, challenges such as adequate teacher training and technological infrastructure need to be addressed for effective implementation. The final considerations highlight the importance of continuously exploring and refining the use of GAI to promote a more interactive, effective, and individualized education.","COSTA, Diogo Gonzaga Monte da. Integrando a inteligência artificial generativa na educação em química: desenvolvimento de ferramentas e avaliação como recurso educacional. Orientador: Dr. Edgar Perin Moraes. 2025. 128f. Dissertação (Mestrado Profissional em Química - Profqui) - Centro de Ciências Exatas e da Terra, Universidade Federal do Rio Grande do Norte, Natal, 2025.||https://repositorio.ufrn.br/handle/123456789/63171",ark:/41046/001300001cpfh,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Lopes, Aline Cristine Freire de Araújo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,All Learnings: um nova abordagem para o ensino de idiomas para adultos focada na aquisição de competências sociocomunicativas,2024,Universidade Federal do Rio Grande do Norte (UFRN),UFRN,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Inteligência Artificial||Educação de adultos||Metodologia de ensino||Democratização do ensino||Design Thinking||CNPQ::OUTROS::CIENCIAS,Não informado pela instituição,por,"The Fourth Industrial Revolution, characterized by the convergence of disruptive technologies, is reshaping the global landscape and the demands of the labor market. In this context, proficiency in foreign languages has become essential for individual and professional success. However, for many adults, achieving fluency in a foreign language remains a significant challenge, particularly regarding effective and natural communication. This study proposes a teaching methodology that combines active and natural learning approaches, targeting adults who struggle with effective communication and comprehension of both native and non-native speakers. This demographic requires flexible scheduling, goal-oriented learning, and methods that allow for practical progress measurement, adapting to various contexts and individual needs. The characteristics of this group are often overlooked by traditional methodologies and online courses, which tend to focus on rigid grammatical elements or lack a clear approach, thus impeding the learning process. By utilizing Design Thinking tools to map specific needs and explore diverse solution possibilities, the developed methodology employs artificial intelligence to personalize instruction, offering an accessible educational tool that emphasizes student autonomy. Validation of this methodology revealed a 100% satisfaction rate among participants regarding the curriculum content and proposed activities. These results indicate that the method is viable and effectively meets the needs of the established target audience, reflecting a positive alignment between student expectations and the solutions presented. This focus on sociocommunicative skills aims to enhance the likelihood of fluency, empowering students to achieve personal or professional goals and, consequently, expand access to academic and labor market opportunities. It is anticipated that this methodology will transcend traditional barriers by leveraging technology to democratize access to quality education and act as a transformative force in society.","LOPES, Aline Cristine Freire de Araújo. All Learnings: um nova abordagem para o ensino de idiomas para adultos focada na aquisição de competências sociocomunicativas. Orientadora: Dra. Luciana de Figueiredo Lopes Lucena. 2024. 135f. Dissertação (Mestrado Profissional em Ciência, Tecnologia e Inovação) - Escola de Ciência, Tecnologia e Inovação, Universidade Federal do Rio Grande do Norte, Natal, 2024.||https://repositorio.ufrn.br/handle/123456789/62585",ark:/41046/0013000022jfq,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Corcini, Luiz Fernando",Não informado pela instituição,"Medeiros, Luciano Frontino de||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Cenários imersivos de aprendizagem: a construção do conhecimento em ambientes de pós-graduação.,2016,Centro Universitário Internacional (UNINTER),UNINTER,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Jogos eletrônicos||Realidade virtual na educação||Sistemas de indicação visual tridimensional||Inteligência artificial||Tecnologia educacional||Inovações educacionais,Não informado pela instituição,por,"Está sobejamente comprovado que as NTICs (Novas Tecnologias da Informação e Comunicação) exigem dos educadores e docentes novas posturas e metodologias. Os jovens digitais almejam por respostas mais rápidas para as suas ações; contextualização, objetividade e aplicabilidade nos assuntos tratados em sala de aula; interação e conectividade com seus pares e preferem aprender fazendo. Isso requer dos docentes uma postura diferente, um esforço de renovação tanto na didática aplicada quanto na utilização de novas técnicas de ensino, passando de simples transmissores de conteúdo para emancipadores de conhecimento. Esses pressupostos orientam o projeto da criação de um Ambiente Virtual Imersivo - 3D Gamificado (AVI-3DG), que utiliza uma plataforma de servidor open-source para hospedagem de mundos virtuais. A interface do AVI-3DG com o STI se dará mediante um servidor web e para o armazenamento dos dados será utilizada o banco de dados relacional. Nesse AVI-3DG o discente terá a possibilidade de explorar um campus virtual, com salas de atividades (que seguem as exigências curriculares), biblioteca (documentos, links, vídeos, sites, jogos), sala de estudo, ambientes de interação e de codesign em que o mesmo será constantemente desafiado a resolver tarefas, realizar ou completar pesquisas, apresentar propostas, entre outras. Como resultado espera-se um produto que estimule a curiosidade e direcione a resolução de tarefas para despertar e manter o interesse do estudante em seu caminho no processo de aprendizado, superando suas limitações e atingindo os objetivos propostos.",https://repositorio.uninter.com/handle/1/65,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Melo, Leonimer Flavio de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Uma introdução a engenharia de trafego atraves de programas de ensino pela Internet,2002,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Ensino a distância||Engenharia de tráfego||Ensino auxiliado por computador||Teoria das filas||Educação - Processamento de dados||Inteligência artificial - Aplicações educacionais,Não informado pela instituição,por,Orientador: Luis Geraldo Pedroso Meloni,"(Broch.)||https://hdl.handle.net/20.500.12733/1593242||MELO, Leonimer Flavio de. Uma introdução a engenharia de trafego atraves de programas de ensino pela Internet. 2002. 150p. Dissertação (mestrado) - Universidade Estadual de Campinas, Faculdade de Engenharia Eletrica e de Computação, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1593242. Acesso em: 27 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Pianezzola, Tatiano",Não informado pela instituição,"Santos, Eduardo Ribas||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Representação de conhecimentos para instrução centrada em modelos em ambientes complexos de aprendizagem,2007,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Sistemas de informação||Tecnologia da informação||Inteligência artificial||Informática na educação||Ambiente de aprendizagem||Modelagem,Não informado pela instituição,por,"A utilização de técnicas de Inteligência Artificial tem sido largamente empregada na educação, especialmente para o desenvolvimento de sistemas tutores inteligentes. Estes sistemas têm, entretanto, sido objeto de crítica pela parte dos pedagogos por não se enquadrarem na orientação construtivista. Nesta pesquisa parte-se deste aspecto fundamental em busca de uma formulação para o problema da representação dos conhecimentos no âmbito dos ambientes complexos de aprendizagem. Propõe-se uma estrutura para a representação de conhecimentos baseada em modelos de sistemas, desenvolvida no programa E-BIACS. Um exemplo ilustra o processo de aprendizagem baseado na estrutura proposta, que compreende a elucidação progressiva do problema através da confrontação de conhecimentos pessoais com conhecimentos teóricos e técnicos. A abordagem desenvolvida tem como objetivo a construção de ambientes efetivos de aprendizagem.",http://hdl.handle.net/10183/10677,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Moreira, Maria Isabel Giusti",Não informado pela instituição,"Costa, Antonio Carlos da Rocha||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Um modelo de sistema AVA-SMA orientado à legislação,2017,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Sistemas multiagentes||Inteligência artificial||Educação a distância,Multi-agent systems||Legal systems,por,"Dentro da Educação a Distância (EaD), os softwares de apoio como os Ambientes Virtuais de Aprendizagem (AVA) são considerados recursos que favorecem a comunicação entre os atores envolvidos, permitindo a troca de informação. Atribuir Inteligência Artificial a esses AVAs, utilizando Sistemas Multiagentes (SMA) e uma forma de procurar que os mesmos tenham um bom desempenho e que seus recursos facilitem o processo de aprendizagem. Esse trabalho cont em um estudo sobre os principais AVAs existentes e sobre os métodos alternativos de integração de AVA com SMA. Ao analisar o estado da arte dos AVAs pode-se observar que todos trabalham como ferramentas de auxílio ao aluno, por em nenhum deles trabalha aspectos da gestão da EaD dando suporte aos aspectos relevantes da legislação dessa modalidade. Por esse motivo, essa Tese tem por objetivo a criação de um modelo de integração AVA-SMA que possa tornar o AVA MOODLE capaz de auxiliar os gestores da EaD em suas diferentes tarefas, com base na incorporação, ao mesmo, de um modelo de representação de legislação. Para realizar essa integração do modelo AVA-SMA orientado a Legislação foi desenvolvido um espec co modelo organizacional de Sistema Multiagente. Por m com base em um estudo de caso, ser a realizado simulações para veri car as funcionalidades do Modelo de Sistema AVA-SMA orientado a Legislação, proposto nesta Tese.",http://hdl.handle.net/10183/171382,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Souza, Rafael Marin Machado de",Não informado pela instituição,"Notargiacomo, Pollyana Coelho da Silva||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,STIMA: sistema tutor inteligente multiagente para educação financeira de adultos no Brasil,2021,Universidade Presbiteriana Mackenzie (MACKENZIE),MACKENZIE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,inteligência artificial||sistemas tutores inteligentes multiagentes||mineração de dados||redes bayesianas determinísticas||educação financeira,Não informado pela instituição,por||eng,"Dados da Estratégia Nacional de Educação Financeira (ENEF) mostram uma evolução no público-alvo atingido desde seu lançamento em 2010. Este agora considera adultos, e mesmo que sendo somente mulheres beneficiárias do programa Bolsa-Família e aposentados dependentes de previdência social, já demonstra uma preocupação inicial em atingir públicos diferentes de alunos em idades escolares. Para isso o programa utiliza-se de Educação a Distância (EaD), disponibilizado em seu site treinamentos e ações in-loco com a semana ENEF. Porém, os dados de evolução da educação financeira no país conflitam quando comparados a dados de endividamento publicados pela Confederação Nacional do Comércio (CNF). Com isso, este trabalho busca utilizar uma abordagem ativa para educação financeira de forma a inferir sobre as finanças dos usuários, diretamente a partir dos dados de suas receitas e despesas, a fim de auxiliá-los de forma constante em suas escolhas de consumo. Isso envolve uma abordagem relacionada a Sistemas baseados em conhecimento e Técnicas de Mineração de Dados, de tal forma que, complementarmente às ações da ENEF, busca-se instituir uma ferramenta para a melhoria financeira continua. O modelo apresentado utiliza-se da orquestração entre m´múltiplos agentes de software para combinar redes Bayesianas determinísticas `a arquitetura de sistemas tutores inteligentes. Para isso, foi desenvolvida uma linguagem interpretada capaz de interligar n´os e indicadores configurados por especialistas `as respostas dadas aos pelos usuários para definir o perfil e um padrão de ensino. Um sistema foi construído para testar as funcionalidades comentadas e possibilitou a validação do funcionamento do modelo. A partir de testes unitários baseado em cargas aleatórias controladas a uma base de dados foi possível medir a performance e a acurácia do modelo. Para os testes integrados, um usuário foi acompanhado por um período de quatro meses a fim de testar as funcionalidades do sistema que se demonstrou capaz de alterar hábitos de consumo dos usuários a partir do segundo mês de utilização.",https://dspace.mackenzie.br/handle/10899/29387,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Melo, Rosemary dos Santos Mendes de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,GESTÃO ESCOLAR E INTELIGÊNCIA ARTIFICAL: O uso do ChatGPT como apoio à Gestão,2024,Universidade Federal de Pernambuco (UFPE),UFPE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação||Gestão Escolar||Tecnologias Digitais da Informação e Comunicação (Tdic)||Inteligência Artificial (IA)||ChatGPT||Formação continuada,Não informado pela instituição,por,Não informado pela instituição,https://repositorio.ufpe.br/handle/123456789/56676,ark:/64986/001300002cv8m,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"MELO, Rosemary dos Santos Mendes de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Gestão escolar e inteligência artificial : o uso do ChatGPT como apoio à gestão,2024,Universidade Federal de Pernambuco (UFPE),UFPE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação||Gestão escolar||Tecnologias Digitais da Informação e Comunicação||Inteligência Artificial||ChatGPT||Formação Continuada,Não informado pela instituição,por,"A pesquisa discutiu a relação entre as transformações sociais contemporâneas e a gestão escolar, enfatizando a crescente presença das Tecnologias Digitais da Informação e Comunicação (Tdic) na educação, dando um recorte especial para a Inteligência Artificial (IA) via ChatGPT como apoio à gestão escolar. Sob a premissa de que a educação e a gestão escolar refletem as mudanças sociais, a pesquisa problematizou esses dois campos e teve como objetivo geral analisar a visão dos gestores sobre o uso da Inteligência Artificial via ChatGPT apoio à gestão escolar. O estudo parte da perspectiva de que a presença da Inteligência Artificial na educação é inevitável, transformando o cenário educacional com impactos significativos, incluindo aprendizagens adaptativas e análise de dados. Na gestão escolar, desempenha um papel importante, otimizando processos pedagógicos e administrativos, tendo o ChatGPT como uma inovação da IA com aplicações vastas na educação, podendo contribuir na gestão escolar. O estudo ainda considera que o seu uso requer avaliação crítica e ética para garantir contribuições positivas do ponto de vista da gestão democrática. A abordagem metodológica da pesquisa se pautou por uma pesquisa exploratória. Nessa abordagem, a coleta de dados ocorreu por meio de entrevistas, questionários, oficinas e diários de bordo. Com relação à oficina proposta, a metodologia abrangeu desde a introdução à IA e ao ChatGPT até a análise crítica dos desafios éticos e democráticos associados ao uso dessas tecnologias na gestão escolar. A análise de conteúdo temático de Bardin foi utilizada para análise de dados. Os resultados revelaram que os gestores desempenham multitarefas, envolvendo questões administrativas e interpessoais, em constante atualização de demandas. Eles utilizam tecnologias já consolidadas, como comunicação online e habilidade com documentos, mas desconhecem o uso de IAs na gestão. O estudo revelou aspectos sedutores e positivos da IA na gestão: se bem utilizadas, as IAs podem colaborar com a melhoria e otimização das ações na gestão. Por outro lado, a pesquisa também revelou uma visão preocupante: é preciso ter cuidado para não perder de vista o pensar, o fazer, as relações humanas e automatização das ações. A pesquisa apresentou como produto final de trabalho a proposta de uma oficina. Trata-se de um produto alinhado à formação continuada, visando capacitar gestores na aplicação estratégica do ChatGPT.","MELO, Rosemary dos Santos. Mendes de Gestão escolar e inteligência artificial: o uso do ChatGPT como apoio à gestão. 2024. Dissertação (Mestrado em Educação Básica) – Universidade Federal de Pernambuco, Recife, 2024.||https://repositorio.ufpe.br/handle/123456789/56842",ark:/64986/001300002ds54,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Kuss, Fabiano Sardenberg",Não informado pela instituição,"Direne, Alexandre Ibrahim||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Definição de atores e seus papéis em um ambiente virtual para aprendizagem e prática do xadrez escolar,2011,Universidade Federal do Paraná (UFPR),UFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Inteligencia artificial - Aplicações educacionais||Xadrez - Estudo e ensino||Informática na educação||Ciência da computação,Não informado pela instituição,por,Orientador: Prof. Dr. Alexandre I. Direne,https://hdl.handle.net/1884/26400,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Volanski, Waldemar",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Desenvolvimento e validação de sistema de apoio à decisão em urinálise com inteligência artificial utilizando redes neuronais,2011,Universidade Federal do Paraná (UFPR),UFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Teses||Sistemas de suporte de decisão||Redes neurais||Software - Desenvolvimento||Inteligencia artificial||Urina - Exame||Educação,Não informado pela instituição,por,Orientador: Prof. Dr. Geraldo Picheth,http://hdl.handle.net/1884/48065,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Souza, Carlos Alberto Barbosa de",Não informado pela instituição,"Rossetto, Adriana Marques||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Gestão urbana digital: a utilização de Tecnologias da Informação e Comunicação (TICs) e Inteligência Artificial (IA) nos serviços públicos de Florianópolis,2025,Universidade Federal de Santa Catarina (UFSC),UFSC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Não informado pela instituição,Não informado pela instituição,por,"Tese (doutorado) - Universidade Federal de Santa Catarina, Centro Tecnológico, Programa de Pós-Graduação em Arquitetura e Urbanismo, Florianópolis, 2025.",https://repositorio.ufsc.br/handle/123456789/269425,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Stumm, Jaqueline",Não informado pela instituição,"Nassar, Silvia Modesto||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Sistema inteligente de monitoração alimentar via web baseado em lógica fuzzy,2005,Universidade Federal de Santa Catarina (UFSC),UFSC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Não informado pela instituição,Não informado pela instituição,por,"Dissertação (mestrado) - Universidade Federal de Santa Catarina, Centro Tecnológico. Programa de Pós-Graduação em Ciência da Computação.",http://repositorio.ufsc.br/handle/123456789/102732,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Frigo, Luciana Bolan",Não informado pela instituição,"Bittencourt, Guilherme||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Um ambiente interativo multiagente para o ensino de estrutura da informação,2002,Universidade Federal de Santa Catarina (UFSC),UFSC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Não informado pela instituição,Não informado pela instituição,por,"Dissertação (mestrado) - Universidade Federal de Santa Catarina, Centro Tecnológico. Programa de Pós-Graduação em Engenharia Elétrica.",http://repositorio.ufsc.br/xmlui/handle/123456789/84220,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Brum, Bruna Oliveira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Um olhar linguístico-filosófico para as interações em chatbot,2022,Universidade de Passo Fundo (UPF),UPF,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Linguagem e línguas - Aspectos sociais||Linguística||Inteligência artificial||Interação homem-máquina||CIENCIAS HUMANAS::EDUCACAO,Não informado pela instituição,por,"With the objective of analyzing how interactions with bots are constructed in order to understand which conditions favor or hinder the resolution of service users problems, this work presents, initially, an overview of the concept of language and language spoken in the view of theorists from different areas of interest within linguistics, as well as a study on the concepts of verbal interaction, dialogic relation and expressive intonation, presuppositions of the Bakhtin circle. The research also brings an understanding of computational logic, the notion of artificial intelligence development, algorithms and techniques involved in the development of chatbots interaction in order to understand, albeit superficially in technical terms, the processes of creation and programming of bots. In the light of the concepts studied, an analysis of the effectiveness of the interaction in four interactions between clients and bots of companies from different segments is given. From this sample, the research concludes that the condition that favors the interaction between men and bots is the need for both to axiologize the language, that is, the bot must be able to receive the language and to perceive it as a sign materiality. That must be reflected and refracted before being responded to, a capacity intrinsic to man and essential to successful interaction.","BRUM, Bruna Oliveira. Um olhar linguístico-filosófico para as interações em chatbot. 2022. 92 f. Dissertação (Mestrado em Educação) - Universidade de Passo Fundo, Passo Fundo, RS, 2022.||https://repositorio.upf.br/handle/123456789/8535",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Lima, Jefferson da Costa",Não informado pela instituição,"Pedroso, Marcel de Moraes||Barcellos, Christovam||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Desafios para a adoção de inteligência artificial pelo Sistema Único de Saúde (SUS): ética, transparência e interpretabilidade",2022,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Não informado pela instituição,Não informado pela instituição,por,"Nos últimos anos, aplicações que utilizam componentes baseados em Inteligência Artificial (IA) têm se tornado onipresentes em nosso cotidiano. No campo da saúde, ao mesmo tempo em que a IA pode promover enormes avanços, uma questão que se apresenta, e que é desafiadora para a sua adoção, é fazer com que o seu uso seja justo e não discriminatório contra pessoas, grupos, comunidades, populações e instituições. Outra característica marcante é que parte do êxito recente das aplicações baseadas em IA está relacionada a modelos cada vez mais complexos, sacrificando o entendimento humano sobre o seu funcionamento. Em áreas potencialmente sensíveis como a saúde, a falta de transparência é uma limitação que pode ocultar tratamentos discriminatórios ou, por falta de confiança na solução, funcionar como uma barreira para a adoção da tecnologia, o que pode levar a perda de enormes oportunidades para a melhoria do acesso aos serviços de saúde. Esta pesquisa, no primeiro momento, se concentra em identificar os fatores, técnicos, regulatórios e éticos, que podem contribuir para a construção de um ambiente mais adequado para o desenvolvimento da IA nos serviços de saúde. Em seguida, busca compreender como o funcionamento dos métodos de interpretabilidade, que podem fornecer, para modelos de IA reconhecidamente pouco transparentes (black boxes), alguma interpretabilidade e como isso pode impactar os serviços de saúde. Para isso, foi criado um experimento contrafactual relacionado a multiplicidade preditiva e consistência de explicações por meio de listas de importância dos atributos de quatro dos principais modelos de predição (classificação). Esta é uma pesquisa construída com um olhar para o Sistema Único de Saúde (SUS) e, especialmente, o seu princípio doutrinário da Equidade. Com isso, esperamos que o uso de IA na saúde possa contribuir para mitigar os efeitos das iniquidades sociais e econômicas, não para perpetuá-las ou agravá-las, ao criar um ambiente mais transparente e confiável",https://arca.fiocruz.br/handle/icict/55992,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"LIMA, Jefferson da Costa. Desafios para a adoção de Inteligência Artificial pelo Sistema Único de Saúde (SUS): ética, transparência e interpretabilidade. 2022. 146 f. Tese (Doutorado em Informação e Comunicação em Saúde) - Instituto de Comunicação e Informação Científica e Tecnológica em Saúde, Fundação Oswaldo Cruz, Rio de Janeiro, 2022."
"Mercês, Guilherme Jansen Lacerda [UNIFESP]",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Uso da plataforma chatgpt e adobe express na aprendizagem ativa e crítica: produção de vídeos em sala de aula com os alunos do ensino médio na disciplina de química,2025,Universidade Federal de São Paulo (UNIFESP),UNIFESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Inteligência Artificial na Educação||Aprendizagem Ativa||Autonomia Discente||Produção de Vídeos Educativos||Ensino de Química||Artificial intelligence in education||Critical Pedagogy||Teaching and learning Chemistry||4. Educação de qualidade,Não informado pela instituição,por,"A pesquisa buscou refletir sobre como a prática do professor-pesquisador, ao propor a produção de vídeos mediados por IA, revelou caminhos para o desenvolvimento da autonomia dos estudantes, manifestada nas decisões, adaptações e protagonismo ao longo das atividades. Propôs-se investigar como a integração de ferramentas de IA pode promover autonomia e pensamento crítico na produção de vídeos em Química, tema detalhado nos capítulos teóricos e práticos deste trabalho. A metodologia de pesquisa tem o enfoque qualitativo-reflexivo, a investigação baseou-se na prática pedagógica do professor-pesquisador. A metodologia incluiu uma sequência didática composta por pesquisa sobre ligações químicas, roteirização com ChatGPT, produção de slides no PowerPoint, criação de animações com Adobe Express e edição com Clip Champ. Participaram da pesquisa quinze estudantes do primeiro ano do Ensino Médio de uma escola particular em Carapicuíba, região metropolitana de São Paulo. A sequência didática visou guiar a produção desses vídeos sobre ligações químicas. A reflexão realizada e a análise dos resultados esperados, indicaram que, essa abordagem fomenta uma aprendizagem mais ativa, crítica e personalizada. A atuação dos discentes e a minha abordagem como professor pesquisador revelou que o uso de IA como ferramenta de apoio pedagógico na produção de vídeos possibilitou aos alunos desenvolverem autonomia, pensamento crítico, engajamento e criatividade. Além disso, a abordagem reflexiva e crítica foi fortalecida permitindo a participação ativa dos alunos e o uso coerente e ético da adoção de ferramentas como ChatGPT e Adobe Express na qual puderam analisar criticamente por eles mesmo as informações e a confiabilidade delas.",https://hdl.handle.net/11600/75017,ark:/48912/0013000025vcq,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
